(0.4268398, 1.455263)
(0.3416985, 1.425269)
(0.702909, 1.43305)
(0.2234539, 1.225075)
(0.7704912, 1.377093)
(0.7755455, 1.371682)
(0.3026779, 1.125529)
(0.8095224, 1.456038)
(-0.05003588, -1.152745)
(-0.1009582, -1.17776)
(0.01343446, -1.119414)
(-0.01399593, -1.02046)
(0.03020935, -0.9501517)
(-0.005557012, -0.8470141)
(-0.09479869, -0.7980135)
(-0.1575782, -0.7928955)
(-0.1508925, -0.7405468)
(-0.2432093, -0.1521501)
(-0.2828926, -0.1825014)
(-0.2919299, -0.2900904)
(-0.3098101, -0.3100219)
(-0.3948186, -0.3629985)
(-0.4146569, -0.3187245)
(-0.4232856, -0.3057951)
(-1.912753, 0.1073209)
(-2.020464, 0.1760171)
(-2.009356, 0.01528628)
(-2.047132, -0.07796415)
(-2.073313, -0.0651284)
(-0.706553, -3.214142)
(-0.4690708, -3.073479)
(-0.7503849, -2.653558)
(-0.9312499, -2.301822)
(-1.161845, -2.203686)
(-1.338899, -2.616441)
(0.8414274, -1.615065)
(0.9652388, -1.605055)
(1.023767, -1.668598)
(0.6719239, 0.2774378)
(0.6037702, 0.2638636)
(0.63865, 0.21448)
(0.1411034, -2.550039)
(0.07024162, -2.239378)
(0.4131354, -2.216424)
(0.09642173, -1.998456)
(-0.02209634, -2.003997)
(0.703034, -2.462899)
(1.244201, -2.411101)
(1.362637, -2.285306)
(-1.399073, -1.46927)
(-1.506788, -1.441835)
(-1.218562, -1.555719)
(-1.664337, -1.644736)
(-1.147426, -1.558705)
(-1.043402, -1.600834)
(-1.56627, -1.746218)
(-0.8981322, -1.671778)
(-0.09918609, -0.299643)
(0.02629088, -0.3476835)
(-0.05257751, -0.1626385)
(0.1019567, -0.3699197)
(0.09212496, -0.241289)
(-0.06192761, -0.1327482)
(0.1916632, -0.248558)
(0.05597879, -0.02176826)
(0.234072, -0.2531096)
(0.2421911, -0.3289273)
(0.04396449, 0.001612071)
(0.02352312, 0.06048976)
(0.07153884, 0.08799794)
(0.2538683, -0.7751508)
(0.3132001, -0.8216614)
(0.332212, -0.7909408)
(0.1438228, 0.7719849)
(0.1673425, 0.6944293)
(0.2024936, 0.7030176)
(0.2110312, 0.6642837)
(-0.07131543, -0.5344655)
(-0.05271379, -0.5404156)
(-0.002107942, -0.4941989)
(0.06515139, -0.510522)
(0.05922565, -0.5873418)
(-1.41568, 0.137293)
(-1.29616, 0.0824385)
(-1.297957, 0.2760091)
(-1.383403, 0.4374014)
(-1.544457, 0.3056335)
(0.1954182, -0.544478)
(0.2319488, -0.5002611)
(0.3232187, -0.4078883)
(0.3643196, -0.4762253)
(0.4045276, -0.3778922)
(0.3744949, -0.5197328)
(0.4186499, -0.5564707)
(2.045299, 0.3393328)
(2.251682, 0.2988525)
(1.837629, 0.4764719)
(2.449584, 0.03908291)
(1.62707, 0.3295152)
(1.583306, 0.1995878)
(1.48657, -0.01119533)
(1.517092, -0.04123572)
(1.537721, -0.2747408)
(1.480261, -0.2914191)
(1.440409, -0.3202026)
(-0.6912209, 2.668526)
(-0.7664718, 2.895956)
(-0.2237313, 2.694958)
(0.008346265, 2.353054)
(-0.1986189, 2.237781)
(-0.4222052, 2.233824)
(-0.2829352, 1.819441)
(-0.1886993, 1.790361)
(-0.3393102, 1.731669)
(1.450109, 1.700731)
(1.368496, 1.821916)
(1.14054, 1.558193)
(1.39828, 2.089174)
(1.037692, 1.379998)
(1.229365, 1.310544)
(1.05243, 1.225522)
(-0.1589493, -0.6453321)
(-0.07757258, -0.6452465)
(-0.07596113, -0.651859)
(-0.4898692, 0.5687472)
(-0.4925237, 0.6546273)
(-0.4873237, 0.4334609)
(-0.5270028, 0.7465359)
(-0.4273481, 0.41265)
(-0.5094653, 0.3598046)
(-0.474192, 0.8277841)
(-0.5331174, 0.2963804)
(-0.5969202, 0.2305375)
(-0.6212291, 0.2445552)
(-1.456997, -0.6116113)
(-1.371708, -0.4625157)
(-1.442717, -0.3853482)
(-1.278103, -0.4105946)
(-1.554975, -0.3181236)
(-1.20558, -0.5228872)
(-1.183427, -0.5216121)
(-0.1548985, 0.3290806)
(-0.1475466, 0.2975398)
(-0.2086678, 0.313425)
(-0.1975267, 0.2618449)
(0.8954648, -0.2377753)
(1.006171, -0.2373324)
(0.9683895, -0.3395521)
(0.9859774, -0.4015491)
(0.9097342, -0.4004126)
(-0.8243837, 1.405135)
(-0.8442855, 1.530998)
(-0.7012812, 1.329372)
(-0.8930663, 1.622089)
(-0.678076, 1.215605)
(-0.8413753, 1.692213)
(-0.7812697, 1.10853)
(-0.7649236, 1.088331)
(0.652238, 0.7167501)
(0.5643049, 0.6164218)
(0.4690332, 0.7754533)
(0.4938923, 0.8758561)
(0.3093685, 0.7195405)
(0.3079973, 0.6245769)
(0.3070908, 0.559201)
(0.3599877, 0.4703352)
(0.4765678, 0.4395968)
(-0.5685023, -0.5619594)
(-0.6003721, -0.5749019)
(-0.510753, -0.6368674)
(-0.7495223, -0.04816525)
(-0.7973685, -0.1287823)
(-0.6507344, -0.08160899)
(-0.7066377, -0.1872585)
(-0.6740179, -0.1370078)
(-0.565274, -0.06368864)
(-0.6390789, -0.2076529)
(-0.5661778, -0.05116398)
(-0.531276, -0.09329864)
(-0.423029, 0.1329242)
(-0.506328, 0.2033758)
(-0.3433222, 0.2555734)
(-0.2898963, 0.2711711)
(-0.2530077, 0.2234902)
(1.825663, 0.009223205)
(0.02786473, 0.4181463)
(-0.05623751, 0.3699622)
(-0.1276993, 0.4062001)
(-0.1391188, 0.4459167)
(-0.4512833, 1.122221)
(-0.4890774, 1.142424)
(-0.5329375, 1.267127)
(-0.5250744, 1.419858)
(-0.5193818, 1.521205)
(-0.6792256, 1.477654)
(-0.2375288, 1.419309)
(-0.09006112, 1.622963)
(0.1516392, 1.732537)
(-0.06722105, 0.05353138)
(-0.08443684, 0.06507176)
(-0.02733644, 0.1151882)
(0.8989104, -0.7895424)
(0.8926264, -0.7405733)
(0.826736, -0.7278963)
(0.7866732, -0.7477995)
(0.659966, -1.751587)
(0.6600898, -1.727609)
(-0.03969733, 0.8561498)
(-0.009394046, 0.8507596)
(0.01825435, 0.8057035)
(0.03909821, 0.8648603)
(0.1301428, -1.397284)
(0.003566448, -1.467357)
(0.2845362, -1.521896)
(-0.1676537, -1.543896)
(0.09349084, -1.638066)
(0.8170675, -0.622863)
(0.7857077, -0.5040029)
(0.7717856, -0.4766967)
(0.681871, -0.4356729)
(-1.667311, 0.6520793)
(-1.694791, 0.5335651)
(0.7704275, 2.294063)
(0.4218163, 2.236998)
(0.5366184, 1.99427)
(0.8618533, 1.889897)
(0.9778234, 1.942731)
(-0.7851964, 0.4071474)
(-0.6799846, 0.4164212)
(-0.861655, 0.3122751)
(-0.7584445, 0.5733216)
(-0.787316, 0.2011901)
(-0.7860628, 0.593621)
(-0.8614319, 0.5509628)
(-0.6991467, 0.1768099)
(1.548645, -0.5104704)
(1.532589, -0.4925304)
(0.08954458, 0.6656822)
(0.06157785, 0.6968434)
(0.4813341, 0.1608431)
(0.4401042, 0.241742)
(0.4484951, 0.07445733)
(0.4576144, 0.04459037)
(0.4197565, 0.05990668)
(-0.4277468, -1.964771)
(-0.4104393, -2.011202)
(-2.148202, -0.4772286)
(-2.166028, -0.4591902)
(-2.160577, -0.4443172)
(-1.444319, 1.339903)
(-1.076352, 1.53592)
(-1.319694, 0.9320671)
(-1.024934, 1.430576)
(-1.105092, 0.8206488)
(-0.9911614, 0.8521672)
(-0.9629066, 1.33206)
(-0.956999, 0.8507182)
(0.8638317, 1.046798)
(0.8438595, 0.995995)
(0.9168803, 0.9645711)
(-0.370237, -1.003952)
(-0.247905, -0.95426)
(-0.1864898, -0.9494291)
(1.39648, -1.055821)
(1.469515, -1.02418)
(1.278706, -1.011765)
(1.464544, -1.162531)
(1.011732, 0.6973612)
(0.9744539, 0.7938792)
(1.077155, 0.6054699)
(0.8460718, 0.6867596)
(0.9647413, 0.5435134)
(0.8790888, 0.4502055)
(0.8165442, 0.5058018)
(0.7010158, 0.4592939)
(0.7049793, 0.4462241)
(0.9447613, -1.078982)
(0.7112505, -1.001738)
(0.7322928, -1.270247)
(0.6202947, -1.044816)
(0.6526226, -0.8103363)
(0.6504599, -1.348747)
(0.7264976, -1.397027)
(0.6698836, -0.7085515)
(0.7509819, -1.436181)
(-0.2995551, -0.5500836)
(-0.3175085, -0.4805097)
(-0.2502977, -0.4888036)
(-0.3005576, -0.4344786)
(-0.1232268, 0.577308)
(-0.1997018, 0.5976533)
(1.083883, 0.3567006)
(1.199039, 0.198484)
(1.090681, 0.1085546)
(1.221569, 0.03297264)
(1.527769, -0.7542361)
(1.443053, -0.8637903)
(1.688745, -0.7700008)
(1.740348, -1.009745)
(1.62914, -1.148606)
(1.703166, -1.209334)
(-2.27873, -0.4692116)
(0.5107603, -0.02464771)
(0.597292, -0.1019481)
(0.6129507, -0.1084384)
(-0.6741453, -0.3209619)
(-0.7423294, -0.2899188)
(-1.963063, -0.852544)
(-1.936344, -0.805438)
(-1.861725, -0.9564533)
(1.291456, 0.6999309)
(1.213486, 0.7986165)
(1.264913, 0.5070872)
(-0.7944583, -0.8550205)
(-0.8049425, -0.8025764)
(-0.7344379, -1.048299)
(-0.8677179, -0.5850754)
(-0.9558398, -1.121328)
(-0.7361851, -0.5442237)
(-0.7079324, -0.5300388)
(-1.061096, -1.277448)
(-1.018055, -1.316128)
(-0.6296931, -0.4696793)
(0.1884938, 0.5898823)
(1.732785, -1.494677)
(-0.278308, -0.8021395)
(-0.04035375, 0.7533952)
(-0.06996391, 0.7309151)
(-0.8064615, 1.880377)
(2.217777, -0.4646687)
(-0.3142182, -0.6616431)
(-0.3895172, -0.6137919)
(-0.373509, -0.5885021)
(-1.5114, -0.8905239)
(-1.236713, -1.117257)
(0.3921027, -0.6944373)
(0.2963447, -0.9747297)
(0.1663601, -1.046808)
(0.5103464, -0.5177032)
(0.4717682, -0.4723195)
(0.580112, -0.5740802)
(0.5996681, -0.5598924)
(0.537879, -0.6242136)
(-3.190824, -0.8550614)
(-2.449843, -0.3338551)
(0.2122605, 0.4850962)
(1.164652, -0.502721)
(1.126176, -0.4696345)
(1.197351, -0.5924046)
(-1.032703, 0.07955971)
(-1.062695, 0.04186623)
(-1.092143, 0.02733219)
(-0.9132108, 0.6989439)
(-1.03126, 0.2148818)
(2.258684, -1.200324)
(2.558895, -1.159365)
(-1.132089, -0.2079794)
(-1.215269, -0.1190059)
(-1.235293, -0.2794705)
(-1.978173, 1.270962)
(-1.939116, 1.166928)
(-2.082844, 1.728429)
(-1.123633, 1.832291)
(-1.009081, 1.113038)
(-0.938093, 1.101781)
(1.10855, -0.1407978)
(-1.037161, -0.6143352)
(-1.137113, 0.5418578)
(1.137673, 2.673019)
(-0.5060567, -1.229899)
(-0.9151151, 0.0115319)
(-1.958206, -2.284354)
(-1.850916, -2.04903)
(-0.4417847, -0.202454)
(-0.4955972, -0.1593709)
(0.1465486, -0.07453959)
(0.1760105, -0.07724736)
(0.2302332, -0.1076641)
(-1.029302, -0.3321101)
(-0.9251721, -0.2260874)
(1.810911, 1.734909)
(1.91669, 1.66747)
(1.803234, 1.469798)
(0.4812312, 3.551637)
(0.3838906, -0.2052066)
(0.3546176, -0.257632)
(0.3651557, -0.06402546)
(-2.745693, 0.3842483)
(-2.108416, 0.4609685)
(-2.170199, 0.07648954)
(-1.815715, -0.6201266)
(1.206266, 1.055497)
(0.4368942, -0.8506673)
(1.016185, -1.477549)
(0.2419384, 0.05245113)
(-0.2401309, 0.906594)
(-0.50094, -0.7500293)
(0.7448782, -0.1308087)
(-0.4168257, -0.5062403)
(0.1634094, 0.3105054)
